ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,1185544
2,9.6,霸王别姬,869842
3,9.4,这个杀手不太冷,1092135
4,9.4,阿甘正传,934299
5,9.5,美丽人生,545973
6,9.3,泰坦尼克号,870704
7,9.3,千与千寻,864616
8,9.5,辛德勒的名单,491304
9,9.3,盗梦空间,953814
10,9.3,机器人总动员,631883
11,9.3,忠犬八公的故事,614910
12,9.2,三傻大闹宝莱坞,853356
13,9.2,海上钢琴师,713549
14,9.2,放牛班的春天,585780
15,9.2,大话西游之大圣娶亲,645417
16,9.2,楚门的世界,625321
17,9.2,教父,432704
18,9.1,龙猫,529616
19,9.2,星际穿越,642111
20,9.2,熔炉,361655
21,9.1,无间道,529558
22,9.2,触不可及,460406
23,9.0,当幸福来敲门,688643
24,9.2,乱世佳人,329599
25,9.0,怦然心动,739636
